Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3517		0.9227		0.0000		0.1650		0.00050000
2		0.8241		0.7433		0.0000		0.2133		0.00050000
3		0.7266		0.6970		0.0000		0.2341		0.00050000
4		0.6802		0.6652		0.0000		0.2475		0.00050000
5		0.6396		0.6030		0.0000		0.2560		0.00050000
6		0.6137		0.5847		0.0000		0.2651		0.00050000
7		0.5862		0.5761		0.0000		0.2780		0.00050000
8		0.5698		0.5666		0.0000		0.2794		0.00050000
9		0.5451		0.6002		0.0000		0.2710		0.00050000
10		0.5299		0.5221		0.0000		0.2945		0.00050000
11		0.5168		0.5031		0.0000		0.3007		0.00050000
12		0.5046		0.5267		0.0000		0.2995		0.00050000
13		0.4904		0.4970		0.0000		0.3158		0.00050000
14		0.4779		0.4907		0.0000		0.3127		0.00050000
15		0.4709		0.4782		0.0000		0.3269		0.00050000
16		0.4595		0.5099		0.0000		0.3272		0.00050000
17		0.4491		0.4711		0.0000		0.3361		0.00050000
18		0.4425		0.4590		0.0000		0.3385		0.00050000
19		0.4364		0.4721		0.0000		0.3550		0.00050000
20		0.4243		0.5027		0.0000		0.3492		0.00050000
