Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.6490		2.6432		0.0000		0.2783		0.02500000
2		2.3516		2.5360		0.0000		0.3369		0.02462469
3		2.2692		2.3883		0.0000		0.3840		0.02424873
4		2.2181		2.6596		0.0000		0.3576		0.02387213
5		2.1933		2.4429		0.0000		0.4331		0.02349487
6		2.1530		2.2723		0.0000		0.4236		0.02311694
7		2.1269		2.2067		0.0000		0.4496		0.02273831
8		2.1136		2.4884		0.0000		0.4461		0.02235899
9		2.0833		2.2659		0.0000		0.4660		0.02197895
10		2.0746		2.4049		0.0000		0.4341		0.02159817
11		2.0521		2.2691		0.0000		0.5131		0.02121665
12		2.0382		2.1652		0.0000		0.4917		0.02083437
13		2.0094		2.3436		0.0000		0.4821		0.02045130
14		2.0106		2.5199		0.0000		0.5024		0.02006744
15		2.0051		2.4071		0.0000		0.5080		0.01968276
16		1.9928		2.4267		0.0000		0.5089		0.01929724
17		1.9929		2.1712		0.0000		0.5217		0.01891086
18		1.9792		2.3252		0.0000		0.5485		0.01852360
19		1.9584		2.4633		0.0000		0.5098		0.01813545
20		1.9574		2.3107		0.0000		0.5389		0.01774636
