Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		5.3848		6.2540		0.0000		0.6664		0.00250000
2		5.3529		6.1389		0.0000		0.6632		0.00238721
3		5.3182		5.8813		0.0000		0.6657		0.00227383
4		5.3589		5.9643		0.0000		0.6628		0.00215982
5		5.3828		5.9087		0.0000		0.6642		0.00204513
6		5.3351		5.9175		0.0000		0.6650		0.00192972
7		5.3180		5.8701		0.0000		0.6662		0.00181354
8		5.3504		5.8644		0.0000		0.6669		0.00169653
9		5.3121		5.9007		0.0000		0.6676		0.00157861
10		5.3453		5.9887		0.0000		0.6633		0.00145971
11		5.3722		5.8823		0.0000		0.6671		0.00133972
12		5.3532		5.8791		0.0000		0.6687		0.00121852
13		5.3729		5.9475		0.0000		0.6666		0.00109596
14		5.2999		6.0681		0.0000		0.6626		0.00097185
15		5.3383		5.9136		0.0000		0.6671		0.00084596
16		5.3333		5.8492		0.0000		0.6687		0.00071794
17		5.3390		5.9648		0.0000		0.6675		0.00058731
18		5.3387		5.9113		0.0000		0.6669		0.00045334
19		5.3451		6.0079		0.0000		0.6642		0.00031473
20		5.3711		5.8863		0.0000		0.6684		0.00016866
