Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3616		0.9027		0.0000		0.1706		0.00050000
2		0.8349		0.7600		0.0000		0.2162		0.00050000
3		0.7367		0.6739		0.0000		0.2433		0.00050000
4		0.6684		0.6606		0.0000		0.2440		0.00050000
5		0.6283		0.6129		0.0000		0.2619		0.00050000
6		0.5982		0.5752		0.0000		0.2764		0.00050000
7		0.5740		0.5522		0.0000		0.2795		0.00050000
8		0.5506		0.5404		0.0000		0.2900		0.00050000
9		0.5339		0.5551		0.0000		0.2847		0.00050000
10		0.5244		0.5592		0.0000		0.2847		0.00050000
11		0.5088		0.4884		0.0000		0.3008		0.00050000
12		0.4944		0.5257		0.0000		0.2964		0.00050000
13		0.4881		0.4966		0.0000		0.3031		0.00050000
14		0.4772		0.4864		0.0000		0.3164		0.00050000
15		0.4649		0.4890		0.0000		0.3156		0.00050000
16		0.4587		0.4802		0.0000		0.3247		0.00050000
17		0.4512		0.4623		0.0000		0.3305		0.00050000
18		0.4449		0.4530		0.0000		0.3346		0.00050000
19		0.4379		0.4408		0.0000		0.3348		0.00050000
20		0.4306		0.4839		0.0000		0.3209		0.00050000
21		0.4236		0.4334		0.0000		0.3506		0.00050000
22		0.4198		0.5302		0.0000		0.3246		0.00050000
23		0.4117		0.4352		0.0000		0.3657		0.00050000
24		0.4064		0.4544		0.0000		0.3671		0.00050000
25		0.4023		0.4263		0.0000		0.3740		0.00050000
26		0.3988		0.4398		0.0000		0.3755		0.00050000
27		0.3950		0.4529		0.0000		0.3678		0.00050000
28		0.3926		0.4432		0.0000		0.3807		0.00050000
29		0.3827		0.4429		0.0000		0.3885		0.00050000
30		0.3811		0.4182		0.0000		0.3983		0.00050000
31		0.3807		0.4596		0.0000		0.3805		0.00050000
32		0.3847		0.4453		0.0000		0.3883		0.00050000
33		0.3709		0.4300		0.0000		0.4088		0.00050000
34		0.3716		0.4166		0.0000		0.4008		0.00050000
35		0.3666		0.4266		0.0000		0.3959		0.00050000
36		0.3672		0.4232		0.0000		0.3953		0.00050000
37		0.3683		0.4187		0.0000		0.4014		0.00050000
38		0.3647		0.4019		0.0000		0.4134		0.00050000
39		0.3582		0.4568		0.0000		0.4100		0.00050000
40		0.3613		0.4566		0.0000		0.3979		0.00050000
