Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3756		0.8775		0.0000		0.1902		0.00050000
2		0.8097		0.7237		0.0000		0.2178		0.00050000
3		0.7137		0.6548		0.0000		0.2427		0.00050000
4		0.6610		0.6133		0.0000		0.2591		0.00050000
5		0.6195		0.6027		0.0000		0.2614		0.00050000
6		0.5942		0.5704		0.0000		0.2747		0.00050000
7		0.5772		0.5620		0.0000		0.2758		0.00050000
8		0.5522		0.5285		0.0000		0.2881		0.00050000
9		0.5372		0.5283		0.0000		0.2899		0.00050000
10		0.5260		0.5284		0.0000		0.2891		0.00050000
11		0.5083		0.4936		0.0000		0.3056		0.00050000
12		0.4966		0.4985		0.0000		0.3106		0.00050000
13		0.4820		0.5168		0.0000		0.3121		0.00050000
14		0.4764		0.4854		0.0000		0.3313		0.00050000
15		0.4666		0.4870		0.0000		0.3381		0.00050000
16		0.4617		0.4546		0.0000		0.3492		0.00050000
17		0.4541		0.4421		0.0000		0.3519		0.00050000
18		0.4414		0.4401		0.0000		0.3603		0.00050000
19		0.4391		0.4529		0.0000		0.3567		0.00050000
20		0.4314		0.4458		0.0000		0.3692		0.00050000
