Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		9.3808		8.3546		0.0000		0.0121		0.00005000
2		7.3048		6.3420		0.0000		0.0241		0.00005000
3		5.5889		4.7968		0.0000		0.0454		0.00005000
4		4.3376		3.7520		0.0000		0.0858		0.00005000
5		3.4397		2.9431		0.0000		0.1081		0.00005000
6		2.7485		2.3188		0.0000		0.1418		0.00005000
7		2.4524		2.2851		0.0000		0.1445		0.00000500
8		2.4001		2.2546		0.0000		0.1478		0.00000500
9		2.3551		2.1716		0.0000		0.1537		0.00000500
10		2.3010		2.1429		0.0000		0.1623		0.00000500
11		2.2541		2.0937		0.0000		0.1667		0.00000500
12		2.1991		2.0592		0.0000		0.1819		0.00000500
13		2.1629		2.0136		0.0000		0.1913		0.00000500
14		2.1397		1.9829		0.0000		0.1942		0.00000050
15		2.1306		2.0095		0.0000		0.1940		0.00000050
16		2.1231		1.9824		0.0000		0.1942		0.00000050
17		2.1216		1.9707		0.0000		0.1942		0.00000050
18		2.1149		1.9968		0.0000		0.1933		0.00000050
19		2.1165		1.9882		0.0000		0.1943		0.00000050
20		2.1088		1.9687		0.0000		0.1952		0.00000050
