Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.8917		1.7033		0.0000		0.2563		0.00050000
2		1.5162		1.3696		0.0000		0.3398		0.00047744
3		1.1953		1.1541		0.0000		0.3717		0.00045477
4		1.0324		1.0711		0.0000		0.4396		0.00043196
5		0.9490		0.9819		0.0000		0.4570		0.00040903
6		0.8677		0.9432		0.0000		0.4658		0.00038594
7		0.8111		0.8769		0.0000		0.4911		0.00036271
8		0.7506		0.8438		0.0000		0.5170		0.00033931
9		0.7128		0.8334		0.0000		0.5305		0.00031572
10		0.6639		0.7963		0.0000		0.5309		0.00029194
11		0.6435		0.7372		0.0000		0.5683		0.00026794
12		0.6056		0.7475		0.0000		0.5646		0.00024370
13		0.5818		0.7338		0.0000		0.5689		0.00021919
14		0.5651		0.7391		0.0000		0.5588		0.00019437
15		0.5420		0.7411		0.0000		0.5807		0.00016919
16		0.5205		0.7348		0.0000		0.5732		0.00014359
17		0.5023		0.7254		0.0000		0.5916		0.00011746
18		0.4903		0.7167		0.0000		0.5920		0.00009067
19		0.4761		0.7408		0.0000		0.5905		0.00006295
20		0.4641		0.7307		0.0000		0.6013		0.00003373
