Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		5.4692		5.3679		0.0000		0.3046		0.00050000
2		5.4100		5.3555		0.0000		0.3096		0.00047744
3		5.4017		5.3465		0.0000		0.3513		0.00045477
4		5.3968		5.3440		0.0000		0.3833		0.00043196
5		5.3931		5.3396		0.0000		0.4002		0.00040903
6		5.3902		5.3376		0.0000		0.4021		0.00038594
7		5.3883		5.3361		0.0000		0.4115		0.00036271
8		5.3863		5.3343		0.0000		0.4121		0.00033931
9		5.3846		5.3340		0.0000		0.4298		0.00031572
10		5.3831		5.3341		0.0000		0.4214		0.00029194
11		5.3813		5.3315		0.0000		0.4342		0.00026794
12		5.3805		5.3297		0.0000		0.4424		0.00024370
13		5.3791		5.3291		0.0000		0.4538		0.00021919
14		5.3773		5.3271		0.0000		0.4617		0.00019437
15		5.3763		5.3256		0.0000		0.4615		0.00016919
16		5.3749		5.3261		0.0000		0.4589		0.00014359
17		5.3737		5.3249		0.0000		0.4652		0.00011746
18		5.3723		5.3242		0.0000		0.4718		0.00009067
19		5.3710		5.3238		0.0000		0.4761		0.00006295
20		5.3701		5.3224		0.0000		0.4840		0.00003373
