Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6532		1.0899		0.0000		0.2531		0.00050000
2		0.9558		0.8812		0.0000		0.3167		0.00047744
3		0.8016		0.7785		0.0000		0.3518		0.00045477
4		0.7217		0.7438		0.0000		0.3786		0.00043196
5		0.6620		0.6766		0.0000		0.4132		0.00040903
6		0.6227		0.6477		0.0000		0.4577		0.00038594
7		0.5841		0.6740		0.0000		0.4763		0.00036271
8		0.5602		0.6443		0.0000		0.4933		0.00033931
9		0.5304		0.6423		0.0000		0.5047		0.00031572
10		0.5290		0.5849		0.0000		0.5198		0.00029194
