Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.5124		0.2675		0.0000		0.2808		0.00050000
2		0.2437		0.2223		0.0000		0.3548		0.00047744
3		0.2050		0.1965		0.0000		0.4230		0.00045477
4		0.1844		0.2016		0.0000		0.4346		0.00043196
5		0.1729		0.2037		0.0000		0.4705		0.00040903
6		0.1631		0.1815		0.0000		0.4936		0.00038594
7		0.1567		0.1913		0.0000		0.4636		0.00036271
8		0.1514		0.1675		0.0000		0.5356		0.00033931
9		0.1471		0.1776		0.0000		0.5213		0.00031572
10		0.1410		0.1851		0.0000		0.5193		0.00029194
11		1.2926		1.0842		0.0000		0.5170		0.00026794
12		0.8883		0.9464		0.0000		0.5356		0.00024370
13		0.7805		0.8898		0.0000		0.5532		0.00021919
14		0.7232		0.8886		0.0000		0.5721		0.00019437
15		0.6818		0.8302		0.0000		0.5755		0.00016919
16		0.6544		0.8204		0.0000		0.5778		0.00014359
17		0.6127		0.8482		0.0000		0.5920		0.00011746
18		0.5813		0.8504		0.0000		0.5954		0.00009067
19		0.5603		0.8286		0.0000		0.6002		0.00006295
20		0.5434		0.8410		0.0000		0.6023		0.00003373
