Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.2619		0.8124		0.0000		0.2748		0.00050000
2		0.6348		0.5672		0.0000		0.3777		0.00047744
3		0.4768		0.4674		0.0000		0.4479		0.00045477
4		0.4184		0.4137		0.0000		0.4784		0.00043196
5		0.3710		0.4172		0.0000		0.5146		0.00040903
6		0.3426		0.3812		0.0000		0.5430		0.00038594
7		0.3268		0.3776		0.0000		0.5468		0.00036271
8		0.3091		0.3576		0.0000		0.5573		0.00033931
9		0.2917		0.3586		0.0000		0.5433		0.00031572
10		0.2808		0.3589		0.0000		0.5633		0.00029194
11		0.2723		0.3486		0.0000		0.5710		0.00026794
12		0.2651		0.3429		0.0000		0.5910		0.00024370
13		0.2521		0.3497		0.0000		0.5850		0.00021919
14		0.2434		0.3748		0.0000		0.5774		0.00019437
15		0.2418		0.3376		0.0000		0.5924		0.00016919
16		0.2302		0.3417		0.0000		0.5942		0.00014359
17		0.2217		0.3385		0.0000		0.6040		0.00011746
18		0.2130		0.3339		0.0000		0.6112		0.00009067
19		0.2073		0.3323		0.0000		0.6231		0.00006295
20		0.2004		0.3342		0.0000		0.6275		0.00003373
