Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.2297		0.7009		0.0000		0.3190		0.00050000
2		0.5854		0.5426		0.0000		0.4034		0.00047744
3		0.4673		0.4641		0.0000		0.4290		0.00045477
4		0.4073		0.4304		0.0000		0.4940		0.00043196
5		0.3679		0.3862		0.0000		0.5316		0.00040903
6		0.3476		0.3801		0.0000		0.5466		0.00038594
7		0.3259		0.3842		0.0000		0.5404		0.00036271
8		0.3099		0.3562		0.0000		0.5650		0.00033931
9		0.2939		0.3628		0.0000		0.5431		0.00031572
10		0.2820		0.3651		0.0000		0.5531		0.00029194
11		0.2767		0.3453		0.0000		0.5776		0.00026794
12		0.2649		0.3776		0.0000		0.5721		0.00024370
13		0.2544		0.3308		0.0000		0.6081		0.00021919
14		0.2447		0.3275		0.0000		0.6221		0.00019437
15		0.2343		0.3370		0.0000		0.6104		0.00016919
16		0.2288		0.3258		0.0000		0.6094		0.00014359
17		0.2188		0.3240		0.0000		0.6390		0.00011746
18		0.2114		0.3183		0.0000		0.6424		0.00009067
19		0.2039		0.3211		0.0000		0.6476		0.00006295
20		0.1985		0.3245		0.0000		0.6493		0.00003373
