Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3092		0.7798		0.0000		0.2917		0.00050000
2		0.6235		0.5658		0.0000		0.3769		0.00047744
3		0.4832		0.4734		0.0000		0.4453		0.00045477
4		0.4132		0.4303		0.0000		0.4821		0.00043196
5		0.3760		0.3942		0.0000		0.5202		0.00040903
6		0.3467		0.3920		0.0000		0.5279		0.00038594
7		0.3256		0.3800		0.0000		0.5408		0.00036271
8		0.3077		0.3672		0.0000		0.5494		0.00033931
9		0.2962		0.3541		0.0000		0.5696		0.00031572
10		0.2845		0.3574		0.0000		0.5609		0.00029194
11		0.2724		0.3355		0.0000		0.5946		0.00026794
12		0.2593		0.3274		0.0000		0.5944		0.00024370
13		0.2529		0.3325		0.0000		0.6017		0.00021919
14		0.2432		0.3455		0.0000		0.5995		0.00019437
15		0.2370		0.3282		0.0000		0.6066		0.00016919
16		0.2275		0.3185		0.0000		0.6183		0.00014359
17		0.2199		0.3193		0.0000		0.6341		0.00011746
18		0.2103		0.3206		0.0000		0.6342		0.00009067
19		0.2032		0.3127		0.0000		0.6398		0.00006295
20		0.1973		0.3190		0.0000		0.6452		0.00003373
