Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.5673		1.3772		0.0000		0.3148		0.00050000
2		1.1484		1.0907		0.0000		0.3848		0.00047744
3		0.8931		0.8694		0.0000		0.4400		0.00045477
4		0.7567		0.7607		0.0000		0.4779		0.00043196
5		0.6619		0.7106		0.0000		0.5161		0.00040903
6		0.6287		0.6847		0.0000		0.5252		0.00038594
7		0.5684		0.7444		0.0000		0.5255		0.00036271
8		0.5420		0.6187		0.0000		0.5731		0.00033931
9		0.5210		0.6248		0.0000		0.5538		0.00031572
10		0.4817		0.6042		0.0000		0.5706		0.00029194
11		0.4654		0.5866		0.0000		0.5781		0.00026794
12		0.4574		0.5929		0.0000		0.5791		0.00024370
13		0.4341		0.5781		0.0000		0.5956		0.00021919
14		0.4093		0.5595		0.0000		0.6176		0.00019437
15		0.3976		0.5440		0.0000		0.6219		0.00016919
16		0.3813		0.5537		0.0000		0.6246		0.00014359
17		0.3684		0.5572		0.0000		0.6176		0.00011746
18		0.3565		0.5521		0.0000		0.6306		0.00009067
19		0.3433		0.5674		0.0000		0.6255		0.00006295
20		0.3361		0.5604		0.0000		0.6363		0.00003373
