Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.6319		1.4730		0.0000		0.3285		0.00050000
2		1.1717		0.9858		0.0000		0.4096		0.00047744
3		0.8625		0.8396		0.0000		0.4391		0.00045477
4		0.7272		0.7811		0.0000		0.4885		0.00043196
5		0.6578		0.7487		0.0000		0.5041		0.00040903
6		0.6072		0.6625		0.0000		0.5361		0.00038594
7		0.5698		0.6795		0.0000		0.5419		0.00036271
8		0.5626		0.6357		0.0000		0.5408		0.00033931
9		0.5099		0.6545		0.0000		0.5578		0.00031572
10		0.4919		0.6055		0.0000		0.5780		0.00029194
11		0.4609		0.5900		0.0000		0.5799		0.00026794
12		0.4488		0.5622		0.0000		0.6043		0.00024370
13		0.4352		0.5884		0.0000		0.5843		0.00021919
14		0.4159		0.5746		0.0000		0.6023		0.00019437
15		0.3958		0.5531		0.0000		0.6046		0.00016919
16		0.3849		0.5647		0.0000		0.6034		0.00014359
17		0.3663		0.5664		0.0000		0.6194		0.00011746
18		0.3563		0.5567		0.0000		0.6254		0.00009067
19		0.3457		0.5514		0.0000		0.6317		0.00006295
20		0.3347		0.5581		0.0000		0.6282		0.00003373
