Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		3.7946		1.9996		0.0000		0.3079		0.00050000
2		1.6741		1.4145		0.0000		0.3978		0.00047744
3		1.2565		1.2176		0.0000		0.4347		0.00045477
4		1.0308		1.0214		0.0000		0.5075		0.00043196
5		0.9243		1.0083		0.0000		0.5198		0.00040903
6		0.8279		0.9098		0.0000		0.5454		0.00038594
7		0.7622		0.8804		0.0000		0.5469		0.00036271
8		0.7716		0.8239		0.0000		0.5575		0.00033931
9		0.6784		0.7820		0.0000		0.5929		0.00031572
10		0.6592		0.8486		0.0000		0.5796		0.00029194
11		0.6315		0.7312		0.0000		0.6050		0.00026794
12		0.6039		0.7357		0.0000		0.5953		0.00024370
13		0.5671		0.7304		0.0000		0.6081		0.00021919
14		0.5484		0.7492		0.0000		0.5956		0.00019437
15		0.5355		0.7341		0.0000		0.6186		0.00016919
16		0.5395		0.7081		0.0000		0.6190		0.00014359
17		0.4985		0.7229		0.0000		0.6220		0.00011746
18		0.4870		0.7144		0.0000		0.6305		0.00009067
19		0.4658		0.6911		0.0000		0.6442		0.00006295
20		0.4529		0.6852		0.0000		0.6441		0.00003373
