Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.1489		1.2230		0.0000		0.7214		0.00005000
2		0.9508		1.0200		0.0000		0.7219		0.00004774
3		0.7662		0.8177		0.0000		0.7219		0.00004548
1		1.3428		1.8629		0.0000		0.7164		0.00005000
2		1.1550		1.6502		0.0000		0.7165		0.00004774
3		0.9752		1.4865		0.0000		0.7156		0.00004548
4		0.8255		1.3613		0.0000		0.7163		0.00004320
5		0.7319		1.2695		0.0000		0.7164		0.00004090
6		0.6804		1.2049		0.0000		0.7149		0.00003859
7		0.6462		1.1408		0.0000		0.7134		0.00003627
8		0.6192		1.1181		0.0000		0.7141		0.00003393
9		0.5915		1.0786		0.0000		0.7136		0.00003157
10		0.5733		1.0458		0.0000		0.7153		0.00002919
11		0.5531		1.0244		0.0000		0.7155		0.00002679
12		0.5389		0.9970		0.0000		0.7119		0.00002437
13		0.5253		0.9726		0.0000		0.7161		0.00002192
14		0.5147		0.9675		0.0000		0.7161		0.00001944
15		0.5065		0.9490		0.0000		0.7159		0.00001692
16		0.4986		0.9308		0.0000		0.7186		0.00001436
17		0.4934		0.9338		0.0000		0.7191		0.00001175
18		0.4887		0.9265		0.0000		0.7174		0.00000907
19		0.4870		0.9230		0.0000		0.7158		0.00000629
20		0.4842		0.9112		0.0000		0.7164		0.00000337
