Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.2254		1.0738		0.0000		0.2449		0.00050000
2		0.6759		0.6488		0.0000		0.3288		0.00047744
3		0.5592		0.5883		0.0000		0.3780		0.00045477
4		0.5007		0.5078		0.0000		0.4054		0.00043196
5		0.4503		0.4854		0.0000		0.4334		0.00040903
6		0.4335		0.5328		0.0000		0.4136		0.00038594
7		0.3995		0.4765		0.0000		0.4621		0.00036271
8		0.3847		0.4408		0.0000		0.4826		0.00033931
9		0.3774		0.4484		0.0000		0.4998		0.00031572
10		0.3613		0.4395		0.0000		0.5079		0.00029194
11		0.3415		0.4088		0.0000		0.5125		0.00026794
12		0.3253		0.4061		0.0000		0.5243		0.00024370
13		0.3230		0.4028		0.0000		0.5278		0.00021919
14		0.3022		0.3718		0.0000		0.5610		0.00019437
15		0.2946		0.3976		0.0000		0.5536		0.00016919
16		0.2838		0.3677		0.0000		0.5611		0.00014359
17		0.2721		0.3649		0.0000		0.5648		0.00011746
18		0.2630		0.3612		0.0000		0.5848		0.00009067
19		0.2531		0.3609		0.0000		0.5974		0.00006295
20		0.2450		0.3648		0.0000		0.5903		0.00003373
