Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0121		0.8511		0.0000		0.2581		0.00050000
2		0.7088		0.6617		0.0000		0.3268		0.00047744
3		0.6004		0.5814		0.0000		0.3567		0.00045477
4		0.5467		0.5417		0.0000		0.3788		0.00043196
5		0.5004		0.5240		0.0000		0.3950		0.00040903
6		0.4698		0.5045		0.0000		0.4072		0.00038594
7		0.4397		0.4811		0.0000		0.4347		0.00036271
8		0.4183		0.4540		0.0000		0.4482		0.00033931
9		0.4022		0.4420		0.0000		0.4595		0.00031572
10		0.3866		0.4459		0.0000		0.4604		0.00029194
11		0.3696		0.4131		0.0000		0.4892		0.00026794
12		0.3510		0.4178		0.0000		0.4857		0.00024370
13		0.3377		0.3957		0.0000		0.5046		0.00021919
14		0.3341		0.3873		0.0000		0.5201		0.00019437
15		0.3136		0.4859		0.0000		0.4942		0.00016919
16		0.3015		0.3624		0.0000		0.5489		0.00014359
17		0.2874		0.3567		0.0000		0.5550		0.00011746
18		0.2758		0.3598		0.0000		0.5498		0.00009067
19		0.2701		0.3496		0.0000		0.5727		0.00006295
20		0.2592		0.3398		0.0000		0.5788		0.00003373
