Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.3702		0.5205		0.0000		0.7182		0.00005000
2		0.3276		0.4736		0.0000		0.7175		0.00004774
3		0.2909		0.4358		0.0000		0.7148		0.00004548
4		0.2588		0.4102		0.0000		0.7151		0.00004320
5		0.2413		0.3932		0.0000		0.7160		0.00004090
6		0.2325		0.3866		0.0000		0.7138		0.00003859
7		0.2265		0.3764		0.0000		0.7159		0.00003627
8		0.2222		0.3682		0.0000		0.7119		0.00003393
9		0.2193		0.3666		0.0000		0.7178		0.00003157
10		0.2163		0.3632		0.0000		0.7164		0.00002919
11		0.2149		0.3574		0.0000		0.7196		0.00002679
12		0.2130		0.3595		0.0000		0.7179		0.00002437
13		0.2114		0.3552		0.0000		0.7164		0.00002192
14		0.2105		0.3536		0.0000		0.7164		0.00001944
15		0.2104		0.3551		0.0000		0.7165		0.00001692
16		0.2090		0.3523		0.0000		0.7138		0.00001436
17		0.2087		0.3487		0.0000		0.7158		0.00001175
18		0.2090		0.3522		0.0000		0.7168		0.00000907
19		0.2085		0.3501		0.0000		0.7179		0.00000629
20		0.2077		0.3512		0.0000		0.7184		0.00000337
