Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.3699		0.5242		0.0000		0.7179		0.00005000
2		0.3275		0.4756		0.0000		0.7161		0.00004774
3		0.2891		0.4357		0.0000		0.7170		0.00004548
4		0.2591		0.4050		0.0000		0.7178		0.00004320
5		0.2406		0.3964		0.0000		0.7169		0.00004090
6		0.2319		0.3861		0.0000		0.7155		0.00003859
7		0.2265		0.3770		0.0000		0.7122		0.00003627
8		0.2221		0.3682		0.0000		0.7133		0.00003393
9		0.2192		0.3676		0.0000		0.7159		0.00003157
10		0.2166		0.3652		0.0000		0.7139		0.00002919
11		0.2139		0.3611		0.0000		0.7191		0.00002679
12		0.2129		0.3556		0.0000		0.7159		0.00002437
13		0.2119		0.3565		0.0000		0.7161		0.00002192
14		0.2111		0.3558		0.0000		0.7146		0.00001944
15		0.2094		0.3528		0.0000		0.7173		0.00001692
16		0.2099		0.3542		0.0000		0.7182		0.00001436
17		0.2093		0.3531		0.0000		0.7186		0.00001175
18		0.2088		0.3500		0.0000		0.7187		0.00000907
19		0.2088		0.3490		0.0000		0.7165		0.00000629
20		0.2080		0.3482		0.0000		0.7168		0.00000337
